Context,ID,Text,Comments
Frontend,TXT_CargoQuantity[1],{0: 0.#},
Frontend,TXT_TooFarFromBase_Content,Занадто,
Frontend,TXT_UnevenTerrain_Content,Нерегулярна місцевість,
Frontend,TXT_Collision_Content,Занадто близько,
Frontend,TXT_NeedsResource_Content,Потребує ресурсу,
Frontend,TXT_PlacementPresenter_Needs,Потребує  {0} ,
Frontend,TXT_IncompatibleResource_Content,Неправильний ресурс,
Frontend,TXT_BlocksResource_Content,Блокує ресурс,
Frontend,TXT_NoSectorPermission_Content,Заблокований сектор,
Frontend,TXT_Underwater_Content,Підводний,
Frontend,TXT_NoMaintenance_Content,Відсутність технічного обслуговування,
Frontend,TXT_NoPower_Content,Жодної сили,
Frontend,TXT_HyperloopClose_Content,Занадто близько до іншого гіперлупа,
Frontend,TXT_HyperloopFar_Content,Немає поблизу Hyperloops,
Frontend,TXT_FloodableArea_Content,Зона повені,
Frontend,TXT_NeedsEquatorialStrip_Content,Потребує екваторіальної смуги,
Frontend,TXT_NeedsSufficientPressure_Content,Потрібен 300 мбар тиску,
Frontend,TXT_NeedsBreathableAtmosphere_Content,Потрібна дихаюча атмосфера,
Frontend,TXT_BuildingLimitReached_Content,Досягнуто обмеження будівлі,
Frontend,TXT_SpaceportLimitReached_Content,Досягнуто обмеження космічного порту,
Frontend,TXT_PolarAreaProhibited_Content,Негативна полярна зона,
Frontend,TXT_RivalAreaProhibited_Content,Ворожа база поблизу,
Frontend,TXT_InsufficientExtractionLevel_Content,Потребує шахти вищого рівня,
Frontend,TXT_NotEnoughValidTerrain_Content,Потрібно більше ріллі,
Frontend,TXT_FarmTooClose_Content,Ферма занадто близько,
Frontend,TXT_Pipes_PumpingWater,Насосна вода,
Frontend,TXT_Pipes_NotEnoughWater,Недостатньо води,
Frontend,TXT_Pipes_NoWaterSupplyLegend,Немає водопостачання,
Frontend,TXT_NeedsWaterLevelReason,Потрібно бути біля води,
Frontend,TXT_location_north,П.,
Frontend,TXT_location_south,S,
Frontend,TXT_location_east,Е,
Frontend,TXT_location_west,Ш,
Frontend,TXT_wayUpgrade_distance,Відстань >>>,
Frontend,TXT_wayUpgrade_costPerDistance,Вартість за відстань,
Frontend,TXT_HyperloopConnection_TooClose,Занадто близько,
Frontend,TXT_HyperloopConnection_TooFar,Занадто,
Frontend,TXT_HyperloopConnection_NoConnections,Немає жодних з'єднань,
Frontend,TXT_HyperloopConnection_AlreadyConnected,Вже підключений,
Frontend,TXT_HyperloopConnection_NotBuilt,Не побудований,
Frontend,TXT_HyperloopConnection_Rubble,Завал,
Frontend,TXT_HyperloopConnection_ConnectionClick,"Клацніть, щоб підключитися",
Frontend,TXT_terraformingScreen_phaseObjective,Сценічна мета,
Frontend,TXT_resarchWidget_SelectionPending,Вибір очікування,
Frontend,TXT_resarchWidget_AllTechsResearched,Усі досліджені техніки,
Frontend,TXT_save_panel_no_directive,Немає директив,
Frontend,TXT_Space_SectorPermission,Потребує дозволу на розблокування,
Frontend,TXT_District_Name, {0}  Район,
Frontend,TXT_spaceViewController_state_NotAvailable,Недоступний,
Frontend,TXT_spaceViewController_launches, {0} / {1}  запускає,
Frontend,TXT_spaceViewController_launches2, {0} / {1}  запускає,
Frontend,TXT_spaceViewController_state_inProgress,Триває,
Frontend,TXT_spaceViewController_state_ongoing,Що триває,
Frontend,TXT_spaceViewController_state_hidden,Прихований,
Frontend,TXT_spaceViewController_state_available,Доступний,
Frontend,TXT_spaceViewController_state_done,Виконаний,
Frontend,TXT_spaceViewController_state_expired,Закінчився,
Frontend,TXT_Units_MW_old,МВт,
Frontend,TXT_Units_MW_sols_old,MW-SOLS,
Frontend,TXT_Units_RPs_old,RPS,
Frontend,TXT_Units_RP_old,RP,
Frontend,TXT_Units_Alt_old,Альт.,
Frontend,TXT_Units_km_old,км.,
Frontend,TXT_Units_mbar_old,мбар,
Frontend,TXT_Units_Km_old,Км,
Frontend,TXT_Units_M_old,М,
Frontend,TXT_Units_meter_old,м,
Frontend,TXT_Units_MW,{0:0}<size={1}%>MW,
Frontend,TXT_Units_MW_sols,{0: 0.#} MW-SOLS,
Frontend,TXT_Units_RPs,{0:0.#}<size={1}%>RPS,
Frontend,TXT_Units_RP0,{0: 0} rp,
Frontend,TXT_Units_RPs0,{0: 0} RPS,
Frontend,TXT_Units_RPs_ratio,{0: 0}/{1: 0} rps,
Frontend,TXT_Units_km,{0: 0.# км.},
Frontend,TXT_Units_mbar,{0: 0. ##} MBAR,
Frontend,TXT_Units_mbar_long,{0: 0. #####} MBAR,
Frontend,TXT_Units_mbar_percent,{0: 0. ##} MBAR ( {1} ),
Frontend,TXT_Units_mbar_short,{0: 0.#} MBAR,
Frontend,TXT_Units_mbar_small,{0: 0} MBAR,
Frontend,TXT_Units_microbar_long,{0:0.<i>#####}препарат,
Frontend,TXT_Units_tempC,{0: 0. ##} ° C,
Frontend,TXT_Units_tempC_percent,{0: 0. ##} ° C ( {1} ),
Frontend,TXT_Units_tempC_short,{0: 0.#} ° C,
Frontend,TXT_Units_tempC_small,{0: 0} ° C,
Frontend,TXT_Units_Km,{0: 0.#} км,
Frontend,TXT_Units_months_short,{0: 0} м,
Frontend,TXT_Units_meters_short,{0: 0} м,
Frontend,TXT_Units_ML,{0:0}<size={1}%>мл,
Frontend,TXT_Units_ML2,{0:0}/{1:<size={2}%>0}мл,
Frontend,TXT_spaceViewController_singleLaunch, {0}  запуск,
Frontend,TXT_Percentages, {0} / {1} %,
Frontend,TXT_NoPipes_Content,Потребує мережі водопостачання,
Frontend,TXT_PercentagesMin,{0} %(min<size=70%>{1}%),
Frontend,TXT_Units_mbar_year,{0: 0.0#} MBAR/yr,
Frontend,TXT_Units_mbar_year_percent,{0: 0. ##} mbar/yr ( {1} ),
Frontend,TXT_Units_hour_minute_second, {0} :  {1} :  {2} ,
Frontend,TXT_Units_MW_years,{0: 0.#} МВт-року,
Frontend,TXT_wayUpgrade_maximumLevelReached,Повністю оновлений,
Frontend,TXT_NeedsOceanReason,Потрібен водойма,
Frontend,TXT_UnderRiver,У річці,
Frontend,TXT_NeedsAquaticPlacement,Вимагає водних структур,
Frontend,TXT_DialoguePanel_Introspection_Thread,Тита самоаналіза,
Frontend,TXT_DialoguePanel_reflection,Роздуми,
Frontend,TXT_DialoguePanel_Incoming_Call,Вхідний дзвінок,
Frontend,TXT_DialoguePanel_Data_Received,Отримані дані:  {0} - {1} ,
Frontend,TXT_DialoguePanel_Communication_Module,Модуль зв'язку,
Frontend,TXT_DialoguePanel_Communication_Module_short,Ком.Модуль,
Frontend,TXT_DialoguePanel_Answer_Timeout,Час очікування відповідей,
Frontend,TXT_DialoguePanel_Decision_Timeout,Час очікування рішень,
Frontend,TXT_DialoguePanel_Response_Module,Модуль відповіді,
Frontend,TXT_DialoguePanel_Cognitive_Test_Module,Когнітивний тестовий модуль,
Frontend,TXT_DialoguePanel_Cognitive_Test,Когнітивний тест,
Frontend,TXT_DialoguePanel_Enable_Safe_Mode,Увімкнути безпечний режим,
Frontend,TXT_DialoguePanel_Cognitive_Test_Subject,Ісус-Роб-І-12,
Frontend,TXT_DialoguePanel_Certified_By,Сертифікований,
Frontend,TXT_DialoguePanel_Panel_Pages, {0} / {1} ,
